Sample	Segments Unclassified	Segments in ROH	Segments in non-ROH	Population
AU01	83900000	99700000	1046000000	AU
AU03	83900000	119650000	1026050000	AU
AU04	79200000	77050000	1073350000	AU
AU06	86700000	83000000	1059900000	AU
AU08	72350000	82850000	1074400000	AU
AU09	82850000	78500000	1068250000	AU
AU13	71950000	70350000	1087300000	AU
AU14	82500000	76250000	1070850000	AU
AU17	87100000	86050000	1056450000	AU
AU20	83250000	83200000	1063150000	AU
AU21	83500000	89800000	1056300000	AU
AU23	81200000	93100000	1055300000	AU
AU24	76600000	109400000	1043600000	AU
AU25	76100000	82500000	1071000000	AU
AU27	81200000	79200000	1069200000	AU
AU28	81450000	95500000	1052650000	AU
AU29	84500000	83150000	1061950000	AU
AU30	91050000	100650000	1037900000	AU
AU33	80500000	97850000	1051250000	AU
SND04	165500000	617750000	441350000	NZ
SND05	25500000	835600000	295350000	NZ
SND06	158850000	610650000	449200000	NZ
SND11	47350000	589450000	458300000	NZ
SND15	54000000	569400000	473550000	NZ
SP02	125650000	730850000	373100000	NZ
SP03	151250000	674900000	403450000	NZ
SP06	139900000	694150000	395550000	NZ
TI100	111100000	761250000	347700000	NZ
TI101	129850000	703650000	393450000	NZ
TI102	101000000	766900000	350050000	NZ
TI21	51550000	513850000	510700000	NZ
TI22	41750000	621150000	436100000	NZ
TI35	71450000	657300000	424550000	NZ
TI36	44450000	720000000	369950000	NZ
TI37	118000000	749400000	362200000	NZ
TI38	129400000	711400000	388800000	NZ
TI39	33400000	657200000	417100000	NZ
TI40	53400000	648400000	421150000	NZ
TI41	127300000	724800000	377500000	NZ
TI50	126500000	740800000	362300000	NZ
TI51	98050000	812200000	319350000	NZ
TI52	147400000	710600000	371600000	NZ
TI54	137150000	723650000	368800000	NZ
TI56	125050000	744050000	360500000	NZ
TI57	109250000	781850000	338500000	NZ
TI62	140350000	698050000	391200000	NZ
TI63	127350000	747650000	354600000	NZ
TI64	120400000	762200000	347000000	NZ
TI65	129550000	641150000	430400000	NZ
TI66	112550000	776000000	341050000	NZ
TI67	115500000	771350000	342750000	NZ
TI68	127850000	723250000	378500000	NZ
TI69	132050000	709250000	380000000	NZ
TI70	128400000	697850000	395450000	NZ
TI71	118100000	760150000	351350000	NZ
TI72	95800000	804500000	329300000	NZ
TI75	117100000	771650000	340700000	NZ
TI77	123750000	743700000	362150000	NZ
TI78	136200000	692950000	396250000	NZ
TI81	104250000	789850000	335500000	NZ
TI82	142750000	678450000	408400000	NZ
TI83	112450000	671350000	403400000	NZ
TI84	130750000	683850000	393100000	NZ
TI85	114800000	775750000	336400000	NZ
TI86	126600000	787600000	315400000	NZ
TI87	117350000	745550000	353800000	NZ
TI88	143100000	699250000	387250000	NZ
TI89	109050000	783200000	337350000	NZ
TI90	126350000	728200000	375050000	NZ
TI91	126800000	745250000	357550000	NZ
TI92	89250000	827200000	313150000	NZ
TI93	106450000	799350000	323800000	NZ
TI94	99250000	811050000	319300000	NZ
TI95	116400000	783100000	330100000	NZ
TI96	96500000	802550000	330550000	NZ
