Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-median_coverage
AU01_markdup	0.0117713	353950.0	244258360.0	99.23867910082929	98.4431140050354	9.199290270884328	246132216.0							
AU01_markdup_markdup								95.0	100.0	10.0	0	99.0	22.55	21
AU03_markdup	0.0123564	218333.0	158383761.0	99.2161825807031	98.42991582397765	10.00378313007633	159635008.0							
AU03_markdup_markdup								83.0	98.0	1.0	0	97.0	14.55	14
AU04_markdup	0.01111501	169922.0	126947239.0	99.37782958984552	98.69489765043	7.17864612935641	127742012.0							
AU04_markdup_markdup								69.0	98.0	0	0	96.0	12.03	11
AU06_markdup	0.01247356	132136.0	94107007.0	99.23192720457628	98.42201560741887	8.845452160844728	94835412.0							
AU06_markdup_markdup								34.0	98.0	0	0	88.0	8.86	8
AU08_markdup	0.01232412	175435.0	132032072.0	99.15906203773623	98.42145576466727	7.481030146976013	133151796.0							
AU08_markdup_markdup								70.0	100.0	0	0	96.0	12.51	12
AU09_markdup	0.01264433	157298.0	111757456.0	99.12457947816922	98.33650339346211	8.611260702123822	112744444.0							
AU09_markdup_markdup								53.0	98.0	0	0	93.0	10.56	10
AU13_markdup	0.01196778	179436.0	130201540.0	99.3267526196549	98.59914470149917	8.95371794251719	131084060.0							
AU13_markdup_markdup								66.0	100.0	0	0	95.0	12.11	11
AU14_markdup	0.0101674	205150.0	156970503.0	99.40840441314398	98.74649931167326	4.718810071849684	157904660.0							
AU14_markdup_markdup								87.0	98.0	1.0	0	97.0	15.18	15
AU17_markdup	0.01167346	246672.0	175359643.0	99.19720527144163	98.41858991089283	7.979765041301838	176778814.0							
AU17_markdup_markdup								90.0	98.0	1.0	0	97.0	16.48	16
AU20_markdup	0.01214662	195524.0	139388912.0	99.32081107522262	98.61953611924005	9.421366788725551	140342100.0							
AU20_markdup_markdup								74.0	98.0	1.0	0	96.0	13.02	12
AU21_markdup	0.01163783	180440.0	144910857.0	99.46505468932644	98.84092562973686	6.622749969078226	145690220.0							
AU21_markdup_markdup								79.0	100.0	0	0	97.0	13.79	13
AU23_markdup	0.01166299	158271.0	128682168.0	99.45567407629355	98.82097238434207	6.489168587759095	129386452.0							
AU23_markdup_markdup								72.0	98.0	0	0	96.0	12.33	12
AU24_markdup	0.0123097	137756.0	98355489.0	99.33027660246596	98.6352933144709	9.295500321959583	99018640.0							
AU24_markdup_markdup								38.0	98.0	0	0	89.0	9.20	8
AU25_markdup	0.01258096	235444.0	153713139.0	99.15544521221025	98.40570898701418	10.98014629990089	155022388.0							
AU25_markdup_markdup								77.0	98.0	1.0	0	96.0	13.94	13
AU27_markdup	0.0116522	367613.0	287070561.0	99.29877945030458	98.56834110386474	7.285300993012835	289097774.0							
AU27_markdup_markdup								97.0	98.0	28.000000000000004	1.0	97.0	26.91	26
AU28_markdup	0.01142434	301628.0	224477609.0	99.16803415134669	98.40992029478737	7.515461131808594	226360854.0							
AU28_markdup_markdup								94.0	100.0	7.000000000000001	0	99.0	20.98	20
AU29_markdup	0.01235619	208821.0	155822357.0	99.35991870030469	98.65428584203407	7.326275234212821	156826172.0							
AU29_markdup_markdup								85.0	98.0	1.0	0	97.0	14.79	14
AU30_markdup	0.01361038	340221.0	239803877.0	99.02670095781718	98.18130617047036	9.882183008411111	242160826.0							
AU30_markdup_markdup								95.0	100.0	9.0	0	99.0	21.87	21
AU33_markdup	0.0117431	221501.0	166605133.0	99.29586678371537	98.54053400005652	7.529862311867694	167786574.0							
AU33_markdup_markdup								89.0	98.0	1.0	0	97.0	15.72	15
SND04_markdup	0.01104744	91212.0	107442610.0	99.26664023808928	98.69184270145345	8.292096117190624	108236372.0							
SND04_markdup_markdup								49.0	100.0	0	0	91.0	10.17	9
SND05_markdup	0.01172959	78752.0	78266821.0	99.2041959033277	98.56904651655293	10.398382055426103	78894668.0							
SND05_markdup_markdup								19.0	98.0	0	0	75.0	7.26	7
SND06_markdup	0.01256214	247396.0	154564075.0	99.05059724346175	98.25412673025731	13.759157773239275	156045576.0							
SND06_markdup_markdup								66.0	98.0	1.0	0	90.0	13.73	12
SND10_markdup	0.01242811	411737.0	107041411.0	97.99315609585838	96.44579919295498	19.393133747414872	109233558.0							
SND10_markdup_markdup								23.0	65.0	10.0	3.0	32.0	9.18	1
SND11_markdup	0.01146399	163577.0	104987224.0	98.9729337550483	98.18416300310695	10.250543045729305	106076702.0							
SND11_markdup_markdup								38.0	98.0	0	0	85.0	9.76	8
SND15_markdup	0.01137809	185591.0	128375009.0	99.16129900574226	98.40169994935455	12.580545811250134	129460798.0							
SND15_markdup_markdup								52.0	98.0	1.0	0	78.0	11.61	10
