Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
AU01_markdup	246132216.0	0.0	246132216.0	1.0	123066108.0	123066108.0	244258360.0	243528416.0	1873856.0	242300218.0	246132216.0	20686675.0	22642417.0	0.0	353950.0	0.0	30220122492.0	15124922846.0	15095199646.0	29997448283.0	29605848717.0	0.0	2469747903.0	348499366.0	0.0117713	122.0	123.0	123.0	126.0	126.0	126.0	34.6	302.2	112.5	113012163.0	8275735.0	75735.0	400575.0	98.4	99.23867910082929	98.94211329085016	0.7613208991707124	98.4431140050354	100.0	8.404700260773664	9.199290270884328	0.0
AU03_markdup	159635008.0	0.0	159635008.0	1.0	79817504.0	79817504.0	158383761.0	157878160.0	1251247.0	157128604.0	159635008.0	13638873.0	15969540.0	0.0	218333.0	0.0	19535617554.0	9780092091.0	9755525463.0	19387889815.0	19113482682.0	0.0	1612554777.0	236173836.0	0.0123564	122.0	123.0	122.0	126.0	126.0	126.0	34.5	307.8	121.3	72612190.0	6035101.0	33566.0	258223.0	98.4	99.2161825807031	98.89945944689025	0.7838174192969002	98.42991582397765	100.0	8.543785708959279	10.00378313007633	0.0
AU04_markdup	127742012.0	0.0	127742012.0	1.0	63871006.0	63871006.0	126947239.0	126627564.0	794773.0	126074848.0	127742012.0	7321599.0	9170147.0	0.0	169922.0	0.0	15633856976.0	7823265921.0	7810591055.0	15539647937.0	15362966950.0	0.0	865101844.0	170759556.0	0.01111501	122.0	122.0	122.0	126.0	126.0	126.0	34.6	301.2	118.3	57971715.0	5128257.0	31816.0	181994.0	98.7	99.37782958984552	99.12757910842988	0.6221704101544917	98.69489765043	100.0	5.731551339585915	7.17864612935641	0.0
AU06_markdup	94835412.0	0.0	94835412.0	1.0	47417706.0	47417706.0	94107007.0	93795352.0	728405.0	93338924.0	94835412.0	5817537.0	8388621.0	0.0	132136.0	0.0	11601786909.0	5806958074.0	5794828835.0	11515540961.0	11360432966.0	0.0	685401781.0	141705008.0	0.01247356	122.0	122.0	122.0	126.0	126.0	126.0	34.4	309.1	121.3	43064884.0	3653625.0	31222.0	147945.0	98.4	99.23192720457628	98.90329996141104	0.7680727954237179	98.42201560741887	100.0	6.134350953207226	8.845452160844728	0.0
AU08_markdup	133151796.0	0.0	133151796.0	1.0	66575898.0	66575898.0	132032072.0	131629924.0	1119724.0	131049936.0	133151796.0	7193741.0	9961126.0	0.0	175435.0	0.0	16255951089.0	8134538157.0	8121412932.0	16122164193.0	15928168060.0	0.0	850010757.0	196300630.0	0.01232412	122.0	122.0	122.0	126.0	126.0	126.0	34.3	293.1	118.4	59579623.0	6009553.0	26996.0	198790.0	98.4	99.15906203773623	98.85703982543352	0.8409379622637609	98.42145576466727	100.0	5.402661635897123	7.481030146976013	0.0
AU09_markdup	112744444.0	0.0	112744444.0	1.0	56372222.0	56372222.0	111757456.0	111395452.0	986988.0	110868944.0	112744444.0	6687244.0	9708718.0	0.0	157298.0	0.0	13808983743.0	6911827269.0	6897156474.0	13691517888.0	13507034690.0	0.0	791491698.0	170787453.0	0.01264433	122.0	123.0	122.0	126.0	126.0	126.0	34.3	308.5	120.7	51283332.0	4210202.0	24283.0	179909.0	98.3	99.12457947816922	98.80349580685323	0.8754205218307698	98.33650339346211	100.0	5.931329086158782	8.611260702123822	0.0
AU13_markdup	131084060.0	0.0	131084060.0	1.0	65542030.0	65542030.0	130201540.0	129848278.0	882520.0	129247762.0	131084060.0	9105319.0	11736897.0	0.0	179436.0	0.0	15961903615.0	7988805999.0	7973097616.0	15857657115.0	15659644039.0	0.0	1070946206.0	187411107.0	0.01196778	121.0	122.0	122.0	126.0	126.0	126.0	34.5	290.7	119.3	58336961.0	6355042.0	33124.0	199012.0	98.6	99.3267526196549	99.05725989872452	0.6732473803451007	98.59914470149917	100.0	6.946167978013499	8.95371794251719	0.0
AU14_markdup	157904660.0	0.0	157904660.0	1.0	78952330.0	78952330.0	156970503.0	156564810.0	934157.0	155925324.0	157904660.0	6675997.0	7451221.0	0.0	205150.0	0.0	19405084572.0	9708571966.0	9696512606.0	19293107043.0	19114284662.0	0.0	800459098.0	194342587.0	0.0101674	122.0	123.0	123.0	126.0	126.0	126.0	34.6	297.5	111.7	72452909.0	5581145.0	34896.0	213455.0	98.7	99.40840441314398	99.1514816598826	0.5915955868560181	98.74649931167326	100.0	4.227865726065335	4.718810071849684	0.0
AU17_markdup	176778814.0	0.0	176778814.0	1.0	88389407.0	88389407.0	175359643.0	174806270.0	1419171.0	173983216.0	176778814.0	11365496.0	14106534.0	0.0	246672.0	0.0	21638833875.0	10831188068.0	10807645807.0	21470673063.0	21197611041.0	0.0	1347843734.0	247449473.0	0.01167346	122.0	123.0	122.0	126.0	126.0	126.0	34.5	303.9	118.8	80251122.0	6833835.0	37379.0	280799.0	98.4	99.19720527144163	98.8841739825226	0.8027947285583666	98.41858991089283	100.0	6.4292183790756745	7.979765041301838	0.0
AU20_markdup	140342100.0	0.0	140342100.0	1.0	70171050.0	70171050.0	139388912.0	139061444.0	953188.0	138404728.0	140342100.0	10180644.0	13222144.0	0.0	195524.0	0.0	17208606294.0	8612064644.0	8596541650.0	17096176879.0	16880465253.0	0.0	1209679282.0	205040557.0	0.01214662	122.0	123.0	123.0	126.0	126.0	126.0	34.5	297.9	111.9	64299416.0	4979446.0	29598.0	222262.0	98.6	99.32081107522262	99.08747553300114	0.6791889247773832	98.61953611924005	100.0	7.254162507187793	9.421366788725551	0.0
