Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-median_coverage	Snippy_mqc-generalstats-snippy-VariantTotal
H01383	0.005800549	276280.0	207301147.0	98.78429796389295	97.62204780136676	3.010882519357922	209852326.0								
H01383_markdup								97.0	100.0	9.0	0	99.0	22.10	22	
H01384	0.005898449	1258756.0	623784973.0	98.95768318409496	97.86835510118492	4.532366312944869	630355272.0								
H01384_markdup								100.0	100.0	97.0	84.0	100.0	65.72	65	
H01385	0.005940753	576402.0	272513238.0	98.6186275060083	97.48362458432457	4.26747959209264	276330390.0								
H01385_markdup								98.0	100.0	43.0	1.0	100.0	28.97	28	
H01386	0.005049795	707204.0	383870728.0	98.88100921939053	97.9078629497747	4.174448612491904	388214816.0								
H01386_markdup								99.0	100.0	90.0	9.0	100.0	40.67	39	
H01387	0.005226313	491249.0	337681351.0	98.21164345330371	97.54962871767232	3.1662306094511248	343830262.0								
H01387_markdup								99.0	100.0	78.0	3.0	100.0	35.83	35	
H01388	0.005500864	1008002.0	475723186.0	98.92325712703067	97.89305728076535	4.073773307009204	480901256.0								
H01388_markdup								99.0	100.0	92.0	50.0	100.0	50.13	50	
H01389	0.005236993	721767.0	379703207.0	98.87528348934464	98.10338236285558	5.34644348973733	384022370.0								
H01389_markdup								99.0	100.0	88.0	6.0	100.0	40.00	38	
H01390	0.005448558	693421.0	386665338.0	98.81334088951326	97.97010668095308	3.532084273894758	391308840.0								
H01390_markdup								99.0	100.0	90.0	12.0	100.0	40.96	40	
H01391	0.005133761	1013922.0	441916177.0	98.73636313954144	97.53885510139087	5.282180608941768	447571860.0								
H01391_markdup								100.0	100.0	91.0	31.0	100.0	46.58	45	
H01392	0.004666217	841750.0	452900579.0	98.97810904245014	98.09110219363707	4.528399613308823	457576512.0								
H01392_markdup								100.0	100.0	96.0	34.0	100.0	47.85	46	
H01393	0.004985046	785293.0	349584076.0	98.62387639901844	97.33043812803469	5.159538016369657	354461910.0								
H01393_markdup								99.0	100.0	78.0	4.0	100.0	36.68	36	
H01394	0.005331093	1046500.0	481784534.0	98.83859000210687	97.54105655624326	4.162396704562286	487445778.0								
H01394_markdup								99.0	100.0	92.0	52.0	100.0	50.80	50	
H01395	0.00437741	879372.0	435469212.0	98.70989042930726	97.78452688352534	3.6403805155177613	441160668.0								
H01395_markdup								100.0	100.0	95.0	25.0	100.0	45.45	44	
H01396	0.004858749	1206101.0	492983290.0	98.8148633528124	97.58688570309482	5.050349502980871	498895888.0								
H01396_markdup								100.0	100.0	93.0	54.0	100.0	51.79	51	
H01397	0.004226366	630089.0	349567522.0	99.0189483053182	98.11300674163577	3.0580166886110134	353030938.0								
H01397_markdup								99.0	100.0	82.0	4.0	100.0	36.88	36	
H01398	0.005235514	532485.0	381465165.0	98.77760190795576	98.16365431514181	3.065205949754343	386185894.0								
H01398_markdup								99.0	100.0	88.0	11.0	100.0	40.15	40	
H01399	0.005430383	438344.0	230071814.0	98.38546142297858	97.4707682194587	3.963428795457481	233847370.0								
H01399_markdup								97.0	100.0	18.0	1.0	99.0	24.49	24	
H01400	0.004896046	544158.0	383050951.0	98.91202542280377	98.3401268334869	3.903501941289252	387264288.0								
H01400_markdup								99.0	100.0	87.0	13.0	100.0	40.86	40	
H01401	0.004467891	655632.0	438974576.0	99.11635787784799	98.47950404052607	3.0117712210850396	442888122.0								
H01401_markdup								99.0	100.0	95.0	33.0	100.0	46.66	46	
H01402	0.004943908	763527.0	430072950.0	98.94975245613863	97.99087710109065	3.4999865934324035	434637722.0								
H01402_markdup								99.0	100.0	90.0	32.0	100.0	45.74	46	
H01403	0.004528755	497425.0	274995627.0	99.11997043395297	98.19086669126611	3.540420880035261	277437156.0								
H01403_markdup								98.0	100.0	43.0	1.0	99.0	28.72	28	
H01404	0.00502092	511845.0	378272773.0	99.1223035528499	98.47065838596866	4.582394143268237	381622258.0								
H01404_markdup								99.0	100.0	88.0	8.0	100.0	40.10	39	
H01405	0.004678246	559943.0	343775729.0	99.0929212767609	98.26143059752897	3.2695688683749307	346922590.0								
H01405_markdup								99.0	100.0	78.0	5.0	100.0	36.49	36	
H01406	0.00542323	807449.0	269788204.0	98.7305976286772	96.29637797224206	6.580530176043036	273256934.0								
H01406_markdup								98.0	100.0	36.0	1.0	100.0	28.49	27	
avocet_markdup	0.02797254	3995562.0	597104292.0	98.53879682185142	95.5521639632602	6.256979994431236	605958578.0	98.0	99.0	94.0	81.0	98.0	62.63	62	
killdeer	0.06592059	571698.0	199474187.0	89.33906691161727	84.08107805854476	3.153545090290489	223277670.0								
killdeer_markdup								71.0	95.0	1.0	0	87.0	13.19	13	
multiqc															0
pied_stilt_markdup								99.0	100.0	83.0	9.0	100.0	39.40	39	
