Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
H01383	209852326.0	0.0	209852326.0	1.0	104926163.0	104926163.0	207301147.0	206854786.0	2551179.0	204862138.0	209852326.0	2364628.0	6318407.0	0.0	276280.0	0.0	27555696057.0	13894376270.0	13661319787.0	27234206079.0	27075474100.0	0.0	309264134.0	157052627.0	0.005800549	131.0	132.0	130.0	134.0	134.0	134.0	36.6	343.7	83.1	102782285.0	270545.0	36117.0	338446.0	97.6	98.78429796389295	98.57159553237452	1.215702036107048	97.62204780136676	100.0	1.1268057138427907	3.010882519357922	0.0
H01384	630355272.0	0.0	630355272.0	1.0	315177636.0	315177636.0	623784973.0	622385988.0	6570299.0	616918336.0	630355272.0	13707948.0	28570010.0	0.0	1258756.0	0.0	82812803399.0	41733580382.0	41079223017.0	81999271655.0	81372532773.0	0.0	1787982146.0	479971751.0	0.005898449	131.0	132.0	130.0	134.0	134.0	134.0	37.2	345.4	77.1	308353831.0	946699.0	160725.0	1731739.0	97.9	98.95768318409496	98.7357472279537	1.0423168159050473	97.86835510118492	100.0	2.1746384315161245	4.532366312944869	0.0
H01385	276330390.0	0.0	276330390.0	1.0	138165195.0	138165195.0	272513238.0	271898898.0	3817152.0	269376880.0	276330390.0	3513339.0	11792343.0	0.0	576402.0	0.0	36307515411.0	18294913454.0	18012601957.0	35827070518.0	35545026532.0	0.0	459011592.0	211164232.0	0.005940753	131.0	132.0	130.0	134.0	134.0	134.0	37.1	335.2	74.3	134615123.0	437429.0	74763.0	822134.0	97.5	98.6186275060083	98.39630668201207	1.3813724939917034	97.48362458432457	100.0	1.2714269320866227	4.26747959209264	0.0
H01386	388214816.0	0.0	388214816.0	1.0	194107408.0	194107408.0	383870728.0	383198114.0	4344088.0	380092830.0	388214816.0	5957661.0	16205828.0	0.0	707204.0	0.0	50869885609.0	25653569493.0	25216316116.0	50335660014.0	50028484353.0	0.0	774095067.0	252633560.0	0.005049795	131.0	132.0	130.0	134.0	134.0	134.0	37.2	369.8	87.3	190172225.0	558023.0	77258.0	791551.0	97.9	98.88100921939053	98.70775101999199	1.1189907806094654	97.9078629497747	100.0	1.5346299920711939	4.174448612491904	0.0
H01387	343830262.0	0.0	343830262.0	1.0	171915131.0	171915131.0	337681351.0	337173268.0	6148911.0	335405144.0	343830262.0	4952576.0	10886459.0	0.0	491249.0	0.0	45057565957.0	22730521835.0	22327044122.0	44275647950.0	44044879903.0	0.0	644713419.0	230192345.0	0.005226313	131.0	132.0	130.0	134.0	134.0	134.0	36.6	374.9	84.7	167628278.0	372764.0	56476.0	529116.0	97.5	98.21164345330371	98.06387199274506	1.7883565466962883	97.54962871767232	100.0	1.4404130605583518	3.1662306094511248	0.0
H01388	480901256.0	0.0	480901256.0	1.0	240450628.0	240450628.0	475723186.0	474717834.0	5178070.0	470768942.0	480901256.0	9426266.0	19590827.0	0.0	1008002.0	0.0	63018860179.0	31796804624.0	31222055555.0	62378442881.0	61936621223.0	0.0	1226291347.0	340704899.0	0.005500864	131.0	132.0	130.0	134.0	134.0	134.0	37.1	376.3	88.5	235164864.0	634500.0	127448.0	1432105.0	97.9	98.92325712703067	98.7142013203642	1.0767428729693316	97.89305728076535	100.0	1.9601250531980312	4.073773307009204	0.0
H01389	384022370.0	0.0	384022370.0	1.0	192011185.0	192011185.0	379703207.0	379013498.0	4319163.0	376738934.0	384022370.0	7442030.0	20531539.0	0.0	721767.0	0.0	50271561206.0	25359539917.0	24912021289.0	49738426659.0	49404849948.0	0.0	963379045.0	258732831.0	0.005236993	130.0	132.0	130.0	134.0	134.0	134.0	37.2	389.2	91.7	188060351.0	595663.0	79334.0	771401.0	98.1	98.87528348934464	98.69568223330323	1.1247165106553558	98.10338236285558	100.0	1.9379157521474593	5.34644348973733	0.0
H01390	391308840.0	0.0	391308840.0	1.0	195654420.0	195654420.0	386665338.0	385856662.0	4643502.0	383365688.0	391308840.0	5809686.0	13821358.0	0.0	693421.0	0.0	51251228775.0	25868305405.0	25382923370.0	50672202873.0	50356734955.0	0.0	754740343.0	274371600.0	0.005448558	130.0	132.0	130.0	134.0	134.0	134.0	37.0	403.3	96.0	191736600.0	441973.0	76810.0	672948.0	98.0	98.81334088951326	98.60668161751725	1.186659110486745	97.97010668095308	100.0	1.4846804892013172	3.532084273894758	0.0
H01391	447571860.0	0.0	447571860.0	1.0	223785930.0	223785930.0	441916177.0	440984056.0	5655683.0	436556468.0	447571860.0	8763109.0	23641554.0	0.0	1013922.0	0.0	58686851675.0	29572156522.0	29114695153.0	57985874024.0	57546327946.0	0.0	1137810748.0	295429049.0	0.005133761	131.0	132.0	130.0	134.0	134.0	134.0	37.4	364.9	83.2	218058349.0	760555.0	133422.0	1539702.0	97.5	98.73636313954144	98.52810138689237	1.263636860458564	97.53885510139087	100.0	1.9579222429220637	5.282180608941768	0.0
H01392	457576512.0	0.0	457576512.0	1.0	228788256.0	228788256.0	452900579.0	452142542.0	4675933.0	448841844.0	457576512.0	8227409.0	20720893.0	0.0	841750.0	0.0	59944396920.0	30149698785.0	29794698135.0	59371659162.0	59012124590.0	0.0	1066746465.0	275363354.0	0.004666217	131.0	132.0	130.0	134.0	134.0	134.0	37.4	393.0	91.0	224297165.0	601016.0	95190.0	1077900.0	98.1	98.97810904245014	98.8124456003546	1.0218909575498492	98.09110219363707	100.0	1.7980400619863983	4.528399613308823	0.0
H01393	354461910.0	0.0	354461910.0	1.0	177230955.0	177230955.0	349584076.0	348911104.0	4877834.0	344999330.0	354461910.0	8836194.0	18288597.0	0.0	785293.0	0.0	46501642590.0	23356131104.0	23145511486.0	45898063672.0	45567989820.0	0.0	1151208742.0	227158509.0	0.004985046	131.0	132.0	131.0	134.0	134.0	134.0	37.7	356.3	83.8	172442000.0	586678.0	113000.0	1313874.0	97.3	98.62387639901844	98.43401904593924	1.3761236009815554	97.33043812803469	100.0	2.4928472568463	5.159538016369657	0.0
H01394	487445778.0	0.0	487445778.0	1.0	243722889.0	243722889.0	481784534.0	480719546.0	5661244.0	475459762.0	487445778.0	9597743.0	20289427.0	0.0	1046500.0	0.0	63900405574.0	32121943747.0	31778461827.0	63208173871.0	62762155444.0	0.0	1248935580.0	334590860.0	0.005331093	131.0	132.0	130.0	134.0	134.0	134.0	37.4	391.4	92.4	237864003.0	628425.0	150389.0	1716956.0	97.5	98.83859000210687	98.62010662445414	1.16140999789314	97.54105655624326	100.0	1.9689867946707296	4.162396704562286	0.0
H01395	441160668.0	0.0	441160668.0	1.0	220580334.0	220580334.0	435469212.0	434744654.0	5691456.0	431386872.0	441160668.0	14918753.0	16059927.0	0.0	879372.0	0.0	58021740758.0	29185549029.0	28836191729.0	57321915748.0	56986102972.0	0.0	1955577080.0	249451516.0	0.00437741	131.0	132.0	131.0	134.0	134.0	134.0	37.9	392.4	94.1	215623246.0	589744.0	96386.0	1062951.0	97.8	98.70989042930726	98.54565139972995	1.2901095706927346	97.78452688352534	100.0	3.3817051433062026	3.6403805155177613	0.0
H01396	498895888.0	0.0	498895888.0	1.0	249447944.0	249447944.0	492983290.0	491999842.0	5912598.0	486856960.0	498895888.0	12814831.0	25195986.0	0.0	1206101.0	0.0	65598575980.0	33000221552.0	32598354428.0	64858373826.0	64383995501.0	0.0	1674353442.0	312825643.0	0.004858749	131.0	132.0	131.0	134.0	134.0	134.0	37.9	394.5	92.4	243232997.0	740601.0	158791.0	1867532.0	97.6	98.8148633528124	98.61773845688622	1.1851366471875993	97.58688570309482	100.0	2.568638328804987	5.050349502980871	0.0
H01397	353030938.0	0.0	353030938.0	1.0	176515469.0	176515469.0	349567522.0	349039176.0	3463416.0	346369268.0	353030938.0	8894093.0	10795745.0	0.0	630089.0	0.0	46479251686.0	23367845520.0	23111406166.0	46050975136.0	45828022693.0	0.0	1167521370.0	193685984.0	0.004226366	131.0	132.0	131.0	134.0	134.0	134.0	37.9	393.0	93.8	173089644.0	450001.0	79224.0	900719.0	98.1	99.0189483053182	98.86928833415728	0.9810516946817844	98.11300674163577	100.0	2.5193522840765867	3.0580166886110134	0.0
H01398	386185894.0	0.0	386185894.0	1.0	193092947.0	193092947.0	381465165.0	380662008.0	4720729.0	379094186.0	386185894.0	9981165.0	11837393.0	0.0	532485.0	0.0	50815813392.0	25588937008.0	25226876384.0	50224640562.0	49941228045.0	0.0	1310589185.0	261467993.0	0.005235514	131.0	133.0	131.0	134.0	134.0	134.0	37.3	376.4	85.0	189098534.0	616141.0	63664.0	552665.0	98.2	98.77760190795576	98.56963030348281	1.2223980920442423	98.16365431514181	100.0	2.584549346590065	3.065205949754343	0.0
