Sample	mosdepth_mqc-generalstats-mosdepth-10_x_pc	mosdepth_mqc-generalstats-mosdepth-1_x_pc	mosdepth_mqc-generalstats-mosdepth-30_x_pc	mosdepth_mqc-generalstats-mosdepth-50_x_pc	mosdepth_mqc-generalstats-mosdepth-5_x_pc	mosdepth_mqc-generalstats-mosdepth-mean_coverage	mosdepth_mqc-generalstats-mosdepth-median_coverage
H01383_markdup	97.0	100.0	9.0	0	99.0	22.10	22
H01384_markdup	100.0	100.0	97.0	84.0	100.0	65.72	65
H01385_markdup	98.0	100.0	43.0	1.0	100.0	28.97	28
H01386_markdup	99.0	100.0	90.0	9.0	100.0	40.67	39
H01387_markdup	99.0	100.0	78.0	3.0	100.0	35.83	35
H01388_markdup	99.0	100.0	92.0	50.0	100.0	50.13	50
H01389_markdup	99.0	100.0	88.0	6.0	100.0	40.00	38
H01390_markdup	99.0	100.0	90.0	12.0	100.0	40.96	40
H01391_markdup	100.0	100.0	91.0	31.0	100.0	46.58	45
H01392_markdup	100.0	100.0	96.0	34.0	100.0	47.85	46
H01393_markdup	99.0	100.0	78.0	4.0	100.0	36.68	36
H01394_markdup	99.0	100.0	92.0	52.0	100.0	50.80	50
H01395_markdup	100.0	100.0	95.0	25.0	100.0	45.45	44
H01396_markdup	100.0	100.0	93.0	54.0	100.0	51.79	51
H01397_markdup	99.0	100.0	82.0	4.0	100.0	36.88	36
H01398_markdup	99.0	100.0	88.0	11.0	100.0	40.15	40
H01399_markdup	97.0	100.0	18.0	1.0	99.0	24.49	24
H01400_markdup	99.0	100.0	87.0	13.0	100.0	40.86	40
H01401_markdup	99.0	100.0	95.0	33.0	100.0	46.66	46
H01402_markdup	99.0	100.0	90.0	32.0	100.0	45.74	46
H01403_markdup	98.0	100.0	43.0	1.0	99.0	28.72	28
H01404_markdup	99.0	100.0	88.0	8.0	100.0	40.10	39
H01405_markdup	99.0	100.0	78.0	5.0	100.0	36.49	36
H01406_markdup	98.0	100.0	36.0	1.0	100.0	28.49	27
