Module	Section	Sample Name	Source
mosdepth	genome_results	H01383_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01383_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01384_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01384_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01385_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01385_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01386_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01386_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01387_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01387_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01388_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01388_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01389_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01389_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01390_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01390_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01391_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01391_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01392_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01392_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01393_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01393_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01394_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01394_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01395_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01395_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01396_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01396_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01397_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01397_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01398_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01398_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01399_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01399_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01400_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01400_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01401_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01401_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01402_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01402_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01403_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01403_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01404_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01404_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01405_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01405_markdup.mosdepth.region.dist.txt
mosdepth	genome_results	H01406_markdup	/scale_wlg_nobackup/filesets/nobackup/uc03718/variants/kaki/markdup/H01406_markdup.mosdepth.region.dist.txt
